
# Efinity Pinout Report
# Version: 2020.2.299.4.5
# Date: 2021-02-28 20:14

# Copyright (C) 2017 - 2020 Efinix Inc. All rights reserved.

# Device: T20F256
# Package status: final
# Project: pixl
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
F9,VCC,,Power,,,,,1.2 V VCC Power
F10,VCCIO3A_3B_3C,,Power,3A_3B_3C,3.3 V,,,VCCIO Power
F11,VCCIO3A_3B_3C,,Power,3A_3B_3C,3.3 V,,,VCCIO Power
F12,GPIOR_111,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
F13,GPIOR_113_CDI22,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
F14,GPIOR_118_CTRL13,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO/GCTRL
F15,GPIOR_122_CLK13_CDI21,a8_rw_n,Input,3A_3B_3C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCLK
F16,GPIOR_123_CLK12_CDI20,a8_data[6],Input,3A_3B_3C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCLK
G1,GPIOL_31_CLK7_CDI6,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCLK
G2,GPIOL_29_CLK5,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCLK
G3,GPIOL_27_CLK3,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCLK
G4,GPIOL_42,,Input,1B_1C,3.3 V,,weak pullup,User IO
G5,GPIOL_28_CLK4,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCLK
G6,VCCIO1D_1E,,Power,1D_1E,3.3 V,,,VCCIO Power
G7,GND,,Power,,,,,Ground
G8,GND,,Power,,,,,Ground
G9,GND,,Power,,,,,Ground
G10,GND,,Power,,,,,Ground
G11,VCCA_TR,,Power,TR,,,,1.2 V PLL Power
G12,GPIOR_121_CLK14,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO/GCLK
G13,GPIOR_117_CTRL14,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO/GCTRL
G14,GPIOR_127_CLK8,,Input,3D_3E,3.3 V,,weak pullup,User IO/GCLK
G15,GPIOR_124_CLK11,a8_addr[10],Input,3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCLK
G16,GPIOR_126_CLK9,a8_data[0],Input,3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCLK
H1,GPIOL_22_CTRL2,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCTRL
H2,GPIOL_25_CLK1,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCLK
H3,GPIOL_24_CLK0,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCLK
H4,GPIOL_26_CLK2,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCLK
H5,GPIOL_21_CTRL1_CDI5,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCTRL
H6,VCCIO1B_1C,,Power,1B_1C,3.3 V,,,VCCIO Power
H7,VCCIO1B_1C,,Power,1B_1C,3.3 V,,,VCCIO Power
H8,GND,,Power,,,,,Ground
H9,GND,,Power,,,,,Ground
H10,GND,,Power,,,,,Ground
H11,GND,,Power,,,,,Ground
H12,GPIOR_139,,Input,3D_3E,3.3 V,,weak pullup,User IO
H13,GPIOR_125_CLK10,,Input,3D_3E,3.3 V,,weak pullup,User IO/GCLK
H14,GPIOR_128_CTRL11,,Input,3D_3E,3.3 V,,weak pullup,User IO/GCTRL
H15,GPIOR_129_CTRL10,a8_addr[11],Input,3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
H16,GPIOR_130_CTRL9,a8_data[1],Input,3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
J1,GND,,Power,,,,,Ground
J2,GPIOL_20_CTRL0_CDI4,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCTRL
J3,GPIOL_16,,Input,1B_1C,3.3 V,,weak pullup,User IO
J4,GPIOL_14,,Input,1B_1C,3.3 V,,weak pullup,User IO
J5,GPIOL_11,,Input,1B_1C,3.3 V,,weak pullup,User IO
J6,VCC,,Power,,,,,1.2 V VCC Power
J7,VCC,,Power,,,,,1.2 V VCC Power
J8,GND,,Power,,,,,Ground
J9,GND,,Power,,,,,Ground
J10,VCCIO3D_3E,,Power,3D_3E,3.3 V,,,VCCIO Power
J11,VCCIO3D_3E,,Power,3D_3E,3.3 V,,,VCCIO Power
J12,GPIOR_141,,Input,3D_3E,3.3 V,,weak pullup,User IO
J13,GPIOR_133_CDI18,,Input,3D_3E,3.3 V,,weak pullup,User IO
J14,GPIOR_135_CDI17,a8_data[7],Input,3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
J15,GPIOR_131_CTRL8,a8_data[3],Input,3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
J16,GND,,Power,,,,,Ground
K1,GPIOL_18,,Input,1B_1C,3.3 V,,weak pullup,User IO
K2,GPIOL_19,,Input,1B_1C,3.3 V,,weak pullup,User IO
K3,GPIOL_15,,Input,1B_1C,3.3 V,,weak pullup,User IO
K4,GPIOL_12_CDI2,,Input,1B_1C,3.3 V,,weak pullup,User IO
K5,TDI,,Input,1A,3.3 V,,,Configuration
K6,VCCIO1A,,Power,1A,3.3 V,,,VCCIO Power
K7,GND,,Power,,,,,Ground
K8,GND,,Power,,,,,Ground
K9,VCC,,Power,,,,,1.2 V VCC Power
K10,GND,,Power,,,,,Ground
K11,VCCA_BR,,Power,BR,,,,1.2 V PLL Power
K12,GPIOR_148,,Input,3D_3E,3.3 V,,weak pullup,User IO
K13,GPIOR_151_CBUS0,,Input,3D_3E,3.3 V,,weak pullup,User IO/Configuration
K14,GPIOR_138,,Input,3D_3E,3.3 V,,weak pullup,User IO
K15,GPIOR_136_CDI16,a8_addr[12],Input,3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
K16,GPIOR_132_CDI19,a8_data[2],Input,3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
L1,GPIOL_23_CTRL3,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCTRL
L2,GPIOL_13_CDI3,,Input,1B_1C,3.3 V,,weak pullup,User IO
L3,GPIOL_08_CDI0,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
L4,GPIOL_05_CSO,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
L5,TDO,,Output,1A,3.3 V,,,Configuration
L6,VCCIO4B,,Power,4B,,,,VCCIO Power
L7,VCCIO4B,,Power,4B,,,,VCCIO Power
L8,GND,,Power,,,,,Ground
L9,GND,,Power,,,,,Ground
L10,VCCIO4A,,Power,4A,,,,VCCIO Power
L11,VCCIO4A,,Power,4A,,,,VCCIO Power
L12,GPIOR_158_TEST_N,,Input,3D_3E,3.3 V,,weak pullup,User IO/Configuration
L13,GPIOR_157_PLLIN,,Input,3D_3E,3.3 V,,weak pullup,User IO/PLL_CLKIN
L14,GPIOR_150_CBUS1,,Input,3D_3E,3.3 V,,weak pullup,User IO/Configuration
L15,GPIOR_147,a8_addr[9],Input,3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
L16,GPIOR_143,a8_data[5],Input,3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
M1,TMS,,Input,1A,3.3 V,,,Configuration
M2,TCK,,Input,1A,3.3 V,,,Configuration
M3,GPIOL_01_CCK,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
M4,GPIOB_TXP00,,,4B,,,,User IO
M5,GPIOB_TXN00,,,4B,,,,User IO
M6,GPIOB_TXP05,,,4B,,,,User IO
M7,GPIOB_TXN05,,,4B,,,,User IO
M8,GPIOB_TXP11,,,4B,,,,User IO
M9,GPIOB_RXN01,,,4A,,,,User IO
M10,GPIOB_RXP05,,,4A,,,,User IO
M11,GPIOB_RXN05,,,4A,,,,User IO
M12,GPIOB_CLKP0,,,4A,,,,User IO/PLL_CLKIN
M13,GPIOB_CLKN0,,,4A,,,,User IO/PLL_CLKIN
M14,GPIOR_156,,Input,3D_3E,3.3 V,,weak pullup,User IO
M15,GPIOR_144,a8_addr[8],Input,3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
M16,GPIOR_145,a8_data[4],Input,3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
N1,GPIOL_09_CDI1,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
N2,GND,,Power,,,,,Ground
N3,GPIOL_04_CSI,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
N4,GPIOB_TXP01,,,4B,,,,User IO
N5,GPIOB_TXP04,,,4B,,,,User IO
N6,GPIOB_TXP06,,,4B,,,,User IO
N7,GPIOB_TXP09,,,4B,,,,User IO
N8,GPIOB_TXN11,,,4B,,,,User IO
N9,GPIOB_RXP01,,,4A,,,,User IO
N10,GPIOB_RXN03,,,4A,,,,User IO
N11,GPIOB_RXP06,,,4A,,,,User IO
N12,GPIOB_RXN10,,,4A,,,,User IO
N13,GPIOB_RXN12_EXTFB0,,,4A,,,,User IO/PLL_EXTFB
N14,GPIOR_153,a8_addr[7],Input,3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
N15,GND,,Power,,,,,Ground
N16,GPIOR_154,a8_addr[0],Input,3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
P1,CRESET_N,,Input,1A,3.3 V,,,Configuration
P2,GPIOL_02,,Input,1A,3.3 V,,weak pullup,User IO
P3,GPIOL_00_SS_N,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
P4,GPIOB_TXN01,,,4B,,,,User IO
P5,GPIOB_TXN04,,,4B,,,,User IO
P6,GPIOB_TXN06,,,4B,,,,User IO
P7,GPIOB_TXN09,,,4B,,,,User IO
P8,GPIOB_TXN12,,,4B,,,,User IO
P9,GPIOB_RXP00,,,4A,,,,User IO
P10,GPIOB_RXP03,,,4A,,,,User IO
P11,GPIOB_RXN06,,,4A,,,,User IO
P12,GPIOB_RXP10,,,4A,,,,User IO
P13,GPIOB_RXN08,,,4A,,,,User IO
P14,GPIOB_RXP12_EXTFB0,a8_addr[6].RXP,Input,4A,,3.3 V LVTTL / LVCMOS,,User IO/PLL_EXTFB
P15,GPIOR_155,a8_addr[5],Input,3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
P16,GPIOR_146,a8_addr[1],Input,3D_3E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
R1,CDONE,,Output,1A,3.3 V,,,Configuration
R2,REF_RES,,Input,4B,,,,
R3,GPIOB_TXP02,,,4B,,,,User IO
R4,GPIOB_TXN02,,,4B,,,,User IO
R5,GPIOB_TXP07,,,4B,,,,User IO
R6,GPIOB_TXP08,,,4B,,,,User IO
R7,GND,,Power,,,,,Ground
R8,GPIOB_TXP12,,,4B,,,,User IO
R9,GPIOB_RXN00,,,4A,,,,User IO
R10,GND,,Power,,,,,Ground
R11,GPIOB_RXN04,,,4A,,,,User IO
R12,GPIOB_RXN07,,,4A,,,,User IO
R13,GPIOB_RXP08,,,4A,,,,User IO
R14,GPIOB_RXN09,a8_addr[2].RXN,Input,4A,,3.3 V LVTTL / LVCMOS,,User IO
R15,GPIOB_RXN11,a8_addr[4].RXN,Input,4A,,3.3 V LVTTL / LVCMOS,,User IO
R16,GPIOR_149_CBUS2,,Input,3D_3E,3.3 V,,weak pullup,User IO/Configuration
T1,GND,,Power,,,,,Ground
T2,GPIOB_TXP03,,,4B,,,,User IO
T3,GPIOB_TXN03,,,4B,,,,User IO
T4,GND,,Power,,,,,Ground
T5,GPIOB_TXN07,,,4B,,,,User IO
T6,GPIOB_TXN08,,,4B,,,,User IO
T7,GPIOB_TXN10,,,4B,,,,User IO
T8,GPIOB_TXP10,,,4B,,,,User IO
T9,GPIOB_RXP02,,,4A,,,,User IO
T10,GPIOB_RXN02,,,4A,,,,User IO
T11,GPIOB_RXP04,,,4A,,,,User IO
T12,GPIOB_RXP07,,,4A,,,,User IO
T13,GND,,Power,,,,,Ground
T14,GPIOB_RXP09,a8_rd4.RXP,Input,4A,,3.3 V LVTTL / LVCMOS,,User IO
T15,GPIOB_RXP11,a8_addr[3].RXP,Input,4A,,3.3 V LVTTL / LVCMOS,,User IO
T16,GND,,Power,,,,,Ground
